Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,Player Nickname
1992,30,82,39.5,10.3,19.5,0.529,0.0,0.1,0.0,10.3,19.5,0.532,0.529,5.4,7.0,0.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1,27.3,0.5770000000000001,18.7,0.158,2.4,0.065,0.124,0.28800000000000003,15.8,3.0,5.4,8.4,8.5,22.95000000000001,1,0,2,0.66,1,0,Dream
1993,31,80,41.0,11.2,21.2,0.528,0.1,0.2,0.421,11.1,20.9,0.529,0.53,4.9,6.8,0.716,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3,25.3,0.565,16.2,0.16399999999999998,2.0,0.057,0.12300000000000001,0.298,14.3,2.2,4.7,7.0,7.4,19.980000000000004,1,1,1,0.88,1,1,Dream
1994,32,72,39.6,11.1,21.5,0.517,0.0,0.2,0.188,11.0,21.2,0.52,0.517,5.6,7.5,0.7559999999999999,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8,26.0,0.563,15.6,0.172,2.4,0.059000000000000004,0.11699999999999999,0.317,10.7,1.3,4.0,5.3,5.3,14.31,1,0,5,0.14,1,1,Dream
1995,33,72,38.8,10.7,20.8,0.514,0.0,0.2,0.214,10.6,20.6,0.517,0.515,5.5,7.6,0.7240000000000001,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9,25.5,0.5579999999999999,15.9,0.183,2.1,0.053,0.125,0.319,9.7,1.2,3.4,4.6,4.7,12.69,1,0,4,0.211,1,0,Dream
1996,34,78,36.6,9.3,18.3,0.51,0.1,0.2,0.313,9.3,18.1,0.512,0.512,4.5,5.7,0.787,2.2,7.0,9.2,3.0,1.5,2.2,3.6,3.2,23.2,22.7,0.5579999999999999,14.5,0.162,2.1,0.045,0.14800000000000002,0.304,9.1,-0.2,3.4,3.2,3.7,9.990000000000002,1,0,7,0.083,1,0,Dream
1997,35,47,34.7,6.5,13.5,0.483,0.0,0.1,0.0,6.5,13.4,0.486,0.483,3.4,4.5,0.755,2.5,7.3,9.8,3.0,1.8,2.0,2.7,3.2,16.4,20.8,0.531,16.7,0.158,2.7,0.040999999999999995,0.14800000000000002,0.237,4.5,0.1,3.6,3.6,2.3,6.21,0,0,0,0.0,1,0,Dream
1998,36,50,35.7,7.5,14.5,0.514,0.1,0.3,0.308,7.4,14.2,0.518,0.517,3.9,5.4,0.7170000000000001,2.1,7.4,9.6,1.8,1.6,2.5,2.8,3.2,18.9,23.1,0.5589999999999999,15.7,0.095,2.5,0.048,0.141,0.259,6.5,0.0,2.8,2.9,2.2,5.940000000000001,0,0,13,0.003,1,0,Dream
1999,37,44,23.8,4.4,9.6,0.458,0.0,0.0,0.0,4.4,9.5,0.461,0.458,1.6,2.5,0.616,1.5,4.8,6.2,1.4,0.9,1.6,1.7,2.0,10.3,16.7,0.484,14.6,0.102,2.0,0.044000000000000004,0.134,0.22699999999999998,1.6,-3.0,2.0,-1.0,0.3,0.81,0,0,0,0.0,0,0,Dream
2000,38,58,26.6,4.9,9.8,0.498,0.0,0.0,0.0,4.9,9.8,0.499,0.498,2.1,3.4,0.621,2.1,5.3,7.4,1.2,1.2,1.5,1.4,2.4,11.9,20.7,0.526,16.1,0.083,2.4,0.04,0.11,0.21899999999999997,5.0,-0.2,2.2,2.0,1.6,4.32,0,0,0,0.0,0,0,Dream
1992,20,81,37.9,9.0,16.1,0.562,0.0,0.0,0.0,9.0,16.1,0.563,0.562,5.3,8.9,0.5920000000000001,4.2,9.6,13.9,1.9,0.7,3.5,3.8,4.0,23.4,22.9,0.584,20.6,0.085,1.0,0.057,0.159,0.27,10.4,0.9,2.8,3.7,4.4,11.880000000000004,1,0,7,0.031,0,0,Shaq
1993,21,81,39.8,11.8,19.6,0.599,0.0,0.0,0.0,11.8,19.6,0.6,0.599,5.8,10.5,0.5539999999999999,4.7,8.5,13.2,2.4,0.9,2.9,2.7,3.5,29.3,28.5,0.605,18.7,0.11,1.2,0.045,0.102,0.29,16.9,5.4,1.2,6.6,7.1,19.17,1,0,4,0.28600000000000003,1,0,Shaq
1994,22,79,37.0,11.8,20.2,0.583,0.0,0.1,0.0,11.8,20.1,0.585,0.583,5.8,10.8,0.5329999999999999,4.2,7.3,11.4,2.7,0.9,2.4,2.6,3.3,29.3,28.6,0.588,17.6,0.133,1.3,0.045,0.094,0.319,14.0,4.5,0.9,5.4,5.4,14.580000000000002,1,0,2,0.5760000000000001,1,0,Shaq
1995,23,54,36.0,11.0,19.1,0.573,0.0,0.0,0.5,10.9,19.1,0.573,0.574,4.6,9.5,0.487,3.4,7.7,11.0,2.9,0.6,2.1,2.9,3.6,26.6,26.4,0.57,17.8,0.159,0.9,0.044000000000000004,0.11,0.32799999999999996,6.9,2.3,1.1,3.5,2.7,7.290000000000001,1,0,9,0.056,1,0,Shaq
1996,24,51,38.1,10.8,19.4,0.557,0.0,0.1,0.0,10.8,19.4,0.5589999999999999,0.557,4.5,9.4,0.484,3.8,8.7,12.5,3.1,0.9,2.9,2.9,3.5,26.2,27.1,0.556,18.8,0.17300000000000001,1.2,0.057999999999999996,0.10800000000000001,0.311,8.0,2.9,3.3,6.3,4.0,10.8,1,0,9,0.006,1,0,Shaq
