Season,Age,Games,Minutes Per Game,FG Per Game,FG Attempts Per Game,FG %,3PT Per Game,3PT Attempts Per Game,3PT %,2PT Per Game,2PT Attempts Per Game,2PT %,Effective FG%,FT Per Game,FT Attempts Per Game,FT %,Offensive Reb Per Game,Defensive Reb Per Game,Total Reb Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Fouls Per Game,Points Per Game,PER,True Shooting,Total Rebounding %,Assist %,Steal %,Block %,Turnover %,Usage %,Win Shares,Offensive Box +/-,Defensive Box +/-,Box +/-,VORP,Wins Over Replacement,All-Star Games,MVP Trophy,MVP Placing,Shares of MVP Votes,Playoff Appearance,NBA Championship,identifier,identifier2
2009,21,80,36.2,6.6,14.3,0.462,2.1,4.8,0.437,4.5,9.5,0.474,0.535,2.2,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5,16.3,0.568,6.8,24.6,2.5,0.5,16.5,21.8,4.7,1.8,-0.7,1.0,2.2,5.940000000000001,0,0,0,0.0,0,0,Chef,14
2010,22,74,33.6,6.8,14.2,0.48,2.0,4.6,0.442,4.8,9.6,0.498,0.551,2.9,3.1,0.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6,19.4,0.595,6.5,28.1,2.2,0.6,16.4,24.4,6.6,3.5,-1.6,1.9,2.4,6.48,0,0,0,0.0,0,0,Chef,14
2011,23,26,28.2,5.6,11.4,0.49,2.1,4.7,0.455,3.5,6.7,0.514,0.583,1.5,1.8,0.809,0.6,2.8,3.4,5.3,1.5,0.3,2.5,2.4,14.7,21.2,0.605,6.8,32.3,2.8,0.8,17.0,24.0,2.2,4.7,-1.3,3.4,1.0,2.7,0,0,0,0.0,0,0,Chef,14
2012,24,78,38.2,8.0,17.8,0.451,3.5,7.7,0.453,4.5,10.1,0.449,0.549,3.4,3.7,0.9,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9,21.3,0.589,5.8,31.1,2.1,0.3,13.7,26.4,11.2,6.3,-0.9,5.4,5.6,15.12,0,0,11,0.002,1,0,Chef,14
2013,25,78,36.5,8.4,17.7,0.471,3.3,7.9,0.424,5.0,9.8,0.509,0.566,3.9,4.5,0.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,24.1,0.61,6.4,39.9,2.2,0.4,16.1,28.3,13.4,7.4,0.0,7.4,6.7,18.090000000000003,1,0,6,0.053,1,0,Chef,14
2014,26,80,32.7,8.2,16.8,0.487,3.6,8.1,0.443,4.6,8.7,0.528,0.594,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,28.0,0.638,7.0,38.6,3.0,0.5,14.3,28.9,15.7,9.6,0.3,9.9,7.9,21.330000000000002,1,1,1,0.922,1,1,Chef,14
2015,27,79,34.2,10.2,20.2,0.504,5.1,11.2,0.454,5.1,9.0,0.566,0.63,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,31.5,0.669,8.6,33.7,3.0,0.4,12.9,32.6,17.9,12.4,0.1,12.5,9.8,26.460000000000004,1,1,1,1.0,1,0,Chef,14
2016,28,79,33.4,8.5,18.3,0.468,4.1,10.0,0.411,4.4,8.3,0.537,0.58,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,24.6,0.624,7.3,31.2,2.6,0.5,13.0,30.1,12.6,7.8,-0.4,7.3,6.2,16.740000000000002,1,0,6,0.051,1,1,Chef,14
2017,29,51,32.0,8.4,16.9,0.495,4.2,9.8,0.423,4.2,7.1,0.595,0.618,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4,28.2,0.675,9.0,30.3,2.4,0.4,13.3,31.0,9.1,9.9,-1.3,8.6,4.4,11.880000000000003,1,0,10,0.005,1,1,Chef,14
